epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,7499.6,1.74641,2.75357,2.23313,1.76462,0,0.26206,0.24969,0.21532,0.08863,0.25703,0.24202,0.20564,0.08466,2.20201,2.64415,2.66861,2.53346,0,0.00802,0.00802,0.00802
62,7620.26,1.71587,2.74617,2.19646,1.74778,0,0.5047,0.24739,0.21018,0.08926,0.49084,0.23349,0.20234,0.0879,2.16454,2.62474,2.66937,2.26276,0,0.007987,0.007987,0.007987
63,7741.17,1.70179,2.79728,2.21139,1.74377,0,0.28829,0.23641,0.22122,0.08907,0.2742,0.24193,0.20496,0.08516,2.14351,2.57019,2.60753,2.29768,0,0.007954,0.007954,0.007954
64,7861.67,1.71196,2.77932,2.19632,1.74389,0,0.322,0.27565,0.21437,0.08406,0.31831,0.26316,0.20437,0.0819,2.23965,2.5643,2.59349,2.56626,0,0.007921,0.007921,0.007921
65,7981.26,1.70042,2.79079,2.18061,1.75321,0,0.49349,0.23758,0.21292,0.07735,0.50587,0.22662,0.20232,0.07561,2.28104,2.63326,2.64693,2.64757,0,0.007888,0.007888,0.007888
66,8102.99,1.70684,2.77701,2.20264,1.75508,0,0.51362,0.24372,0.2197,0.0907,0.52135,0.24866,0.217,0.09062,2.24048,2.54629,2.53174,2.5197,0,0.007855,0.007855,0.007855
67,8225.87,1.70247,2.76319,2.15109,1.72552,0,0.49238,0.26382,0.21949,0.08719,0.21843,0.25884,0.20342,0.08212,2.21183,2.55865,2.57211,2.51852,0,0.007822,0.007822,0.007822
68,8348.46,1.72474,2.82702,2.20401,1.75644,0,0.32008,0.23827,0.22703,0.08767,0.31321,0.23127,0.21184,0.08372,2.19815,2.63836,2.54148,2.554,0,0.007789,0.007789,0.007789
69,8470.12,1.71067,2.80697,2.17706,1.72787,0,0.36504,0.2573,0.20172,0.07652,0.26783,0.22538,0.18752,0.07195,2.22196,2.56594,2.62302,2.53842,0,0.007756,0.007756,0.007756
70,8589.86,1.68357,2.8056,2.15494,1.72496,0,0.25392,0.25433,0.21092,0.085,0.2572,0.24718,0.20609,0.08226,2.26223,2.52805,2.63446,2.72064,0,0.007723,0.007723,0.007723
71,8709.53,1.67303,2.70783,2.12691,1.7212,0,0.2397,0.24864,0.21573,0.08839,0.2345,0.24798,0.20078,0.08027,2.20262,2.56617,2.52518,2.51262,0,0.00769,0.00769,0.00769
72,8830.52,1.67342,2.69847,2.12389,1.69922,0,0.25104,0.26064,0.19677,0.08267,0.24627,0.23139,0.19055,0.07944,2.16511,2.57366,2.6361,2.33077,0,0.007657,0.007657,0.007657
73,8950.18,1.68293,2.68965,2.15461,1.71186,0,0.316,0.28116,0.2201,0.08832,0.28146,0.26347,0.20561,0.08282,2.24562,2.51639,2.5256,2.54851,0,0.007624,0.007624,0.007624
74,9071.86,1.65356,2.70141,2.08573,1.69536,0,0.26261,0.27156,0.204,0.08408,0.26072,0.24954,0.2008,0.08197,2.22539,2.53309,2.59197,2.53798,0,0.007591,0.007591,0.007591
75,9194.98,1.70557,2.72373,2.14903,1.73977,0,0.34569,0.30769,0.24032,0.10146,0.59947,0.18741,0.22871,0.09574,2.20991,2.47748,2.48725,2.56364,0,0.007558,0.007558,0.007558
76,9318.48,1.69147,2.69469,2.14339,1.7268,0,0.2539,0.29532,0.22152,0.08978,0.25546,0.28159,0.21623,0.08505,2.18564,2.49272,2.51102,2.53309,0,0.007525,0.007525,0.007525
77,9443.75,1.65208,2.64891,2.06137,1.68243,0,0.27504,0.27042,0.21973,0.09108,0.27466,0.27085,0.21058,0.08662,2.20096,2.50778,2.55228,2.52223,0,0.007492,0.007492,0.007492
78,9567.59,1.63851,2.67045,2.04882,1.69533,0,0.27915,0.28996,0.21632,0.09108,0.30566,0.26722,0.20747,0.0875,2.19286,2.49477,2.51903,2.37723,0,0.007459,0.007459,0.007459
79,9693.44,1.65228,2.66866,2.05991,1.69816,0,0.52722,0.25642,0.23648,0.09475,0.53073,0.25074,0.22743,0.09527,2.19384,2.5024,2.46537,2.52858,0,0.007426,0.007426,0.007426
80,9821.18,1.62947,2.67192,2.06251,1.67532,0,0.25879,0.29111,0.21833,0.08777,0.24486,0.27339,0.20591,0.08465,2.16143,2.49019,2.52869,2.39281,0,0.007393,0.007393,0.007393
